burger-grapes [1.259645182153453, 0.8550724646319514]
burger-soup [1.6938711341503447, 0.6548672587470671]
burger-jelly [0.32230073147349886, 0.9111111137602065]
burger-noodles [0.8900298674901327, 0.8421052600208082]
burger-fries [0.2750379777315891, 0.9272727272727272]
burger-ribs [4.640631122150641, 0.534482758963245]
burger-salmon [0.3569769483796039, 0.9255813953488372]
burger-pizza [0.6650244805452594, 0.8149779735682819]
burger-wings [0.5110371101396215, 0.8282208588957055]
cabbage-carrots [0.9864329928327877, 0.8150470223172706]
burger-gummies [1.973418706618015, 0.6855345870713768]
cabbage-grapes [3.647882166043134, 0.6514084494449723]
cabbage-jelly [2.5200142285239373, 0.7276264591439688]
burger-icecream [1.701296454487425, 0.8000000003612403]
cabbage-chips [1.317744788046806, 0.7258064496901727]
cabbage-noodles [1.8135438733075926, 0.6020942377170343]
cabbage-fries [0.6459185542646518, 0.83884297323621]
cabbage-candied_fruits [1.1387494269646061, 0.7655172413793103]
cabbage-gummies [1.6814493072234977, 0.6991525423728814]
burger-pickles [0.3321559131382757, 0.9363057290672496]
cabbage-icecream [5.171290862658792, 0.5950413242844511]
cabbage-soup [2.2648314952850344, 0.7894736854653609]
cabbage-salmon [2.365279894985565, 0.6815068493150684]
cabbage-ribs [1.8221947443912703, 0.6613545797735572]
cabbage-pizza [1.542042591069874, 0.6875]
cabbage-wings [1.3748603105545043, 0.7625]
cabbage-pickles [3.8596861586611495, 0.5555555555555556]
candied_fruits-drinks [0.2598016069427807, 0.9300411510369415]
candied_fruits-chocolate [0.9309485128947667, 0.7366071428571429]
carrots-chocolate [1.3370700297851907, 0.65158370663138]
candied_fruits-carrots [1.263311059841743, 0.6861538461538461]
candied_fruits-soup [0.3601745551033896, 0.9387755102040817]
candied_fruits-jelly [0.5720781938318064, 0.874524715055531]
candied_fruits-noodles [0.5110975050079036, 0.873096447305631]
carrots-drinks [0.7181582827778423, 0.875]
candied_fruits-grapes [1.0129260417138195, 0.7586206896551724]
candied_fruits-chips [0.7572274638127677, 0.8449367081062703]
candied_fruits-ribs [0.6030290845767069, 0.8249027237354085]
candied_fruits-salmon [0.4041927413852423, 0.8959731535623537]
candied_fruits-fries [0.6303912151244379, 0.8346774212775692]
candied_fruits-pizza [0.8210381727064809, 0.8225806459303825]
candied_fruits-gummies [0.0785600064641773, 0.9834710743801653]
candied_fruits-wings [0.9834990457790654, 0.8333333328487428]
candied_fruits-icecream [0.7464038383576178, 0.8830645142063018]
carrots-chips [1.407456494414288, 0.7217391285343446]
carrots-jelly [0.7459097267830208, 0.7876712328767124]
carrots-grapes [0.8282157474644132, 0.7931034484627105]
candied_fruits-pickles [2.524268611272176, 0.475]
carrots-fries [1.0675281983420306, 0.7797833945777012]
carrots-noodles [0.38642580811329913, 0.8849557522123894]
carrots-gummies [1.350338593620216, 0.7896678982185702]
carrots-icecream [2.3464291143073073, 0.7545126358094199]
carrots-soup [0.3636718135409885, 0.8711111111111111]
carrots-ribs [1.1523312597008017, 0.6958041949705644]
carrots-salmon [0.8248607911830284, 0.7920489302104402]
chips-drinks [0.8946672934089777, 0.8897338405308162]
chips-chocolate [1.5887800522570341, 0.8254717003624394]
carrots-pizza [1.4253266566270923, 0.7905604710972767]
carrots-wings [1.3093939993598245, 0.8145454549789428]
chocolate-drinks [0.6463173987384109, 0.8848920863309353]
carrots-pickles [1.6633892493620237, 0.6208178439769603]
chips-jelly [0.2060315498733373, 0.9434628975265018]
chips-grapes [0.5560480094965428, 0.896774193548387]
chips-noodles [0.18502158702518534, 0.944700458357411]
chips-fries [1.0959348820928316, 0.7761194038746962]
